year,month,day,catch_scrubbed,trips_scrubbed
2002,6,3,31766,140
2002,6,4,32148,141
2002,6,5,34510,141
2002,6,6,33278,120
2002,6,7,38116,102
2002,6,8,6500,25
2002,6,9,25875,120
2002,6,10,28792,153
2002,6,11,30118,150
2002,6,12,29841,140
2002,6,13,28645,115
2002,6,14,24610,83
2002,6,15,3953,20
2002,6,16,38857,132
2002,6,17,42688,153
2002,6,18,47671,171
2002,6,19,61123,195
2002,6,20,65292,193
2002,6,21,54389,143
2002,6,22,12212,31
2002,6,23,74220,160
2002,6,24,91050,216
2002,6,25,95374,221
2002,6,26,89526,205
2002,6,27,77645,187
2002,6,28,70563,147
2002,6,29,22643,42
2002,6,30,99121,148
2002,7,1,1.20E+05,205
2002,7,2,1.21E+05,222
2002,7,3,1.16E+05,220
2002,7,4,87878,179
2002,7,5,75000,155
2002,7,6,13736,44
2002,7,7,1.34E+05,210
2002,7,8,1.45E+05,245
2002,7,9,1.46E+05,247
2002,7,10,1.29E+05,230
2002,7,11,1.18E+05,204
2002,7,12,90283,166
2002,7,13,14331,45
2002,7,14,1.66E+05,212
2002,7,15,1.75E+05,254
2002,7,16,1.70E+05,243
2002,7,17,1.45E+05,232
2002,7,18,1.38E+05,225
2002,7,19,78690,147
2002,7,20,14615,37
2002,7,21,1.06E+05,220
2002,7,22,1.10E+05,247
2002,7,23,1.13E+05,253
2002,7,24,1.12E+05,251
2002,7,25,96934,224
2002,7,26,77462,177
2002,7,27,10960,27
2002,7,28,86607,205
2002,7,29,88599,248
2002,7,30,90885,238
2002,7,31,71233,204
2002,8,1,68507,185
2002,8,2,46040,129
2002,8,3,1970,17
2002,8,4,42239,151
2002,8,5,49412,204
2002,8,6,47438,196
2002,8,7,44286,182
2002,8,8,38035,162
2002,8,9,26157,113
2002,8,10,5960,24
2002,8,11,42012,152
2002,8,12,49472,210
2002,8,13,46365,186
2002,8,14,46513,178
2002,8,15,43983,167
2002,8,16,22956,104
2002,8,17,3357,21
2002,8,18,25496,117
2002,8,19,39843,182
2002,8,20,41582,187
2002,8,21,43320,209
2002,8,22,31574,173
2002,8,23,23925,114
2002,8,24,2662,17
2002,8,25,33024,132
2002,8,26,41896,195
2002,8,27,34995,179
2002,8,28,32689,163
2002,8,29,28446,148
2002,8,30,23429,119
2002,8,31,3130,18
2002,9,1,34611,139
2002,9,2,43228,195
2002,9,3,41896,191
2002,9,4,41649,188
2002,9,5,40683,170
2002,9,6,27190,119
2002,9,7,8730,40
2002,9,8,20718,93
2002,9,9,31860,131
2002,9,10,25036,89
2002,9,11,42546,141
2002,9,12,27327,131
2002,9,13,27711,103
2002,9,14,11363,39
2002,9,15,36653,109
2002,9,16,41664,155
2002,9,17,48306,187
2002,9,18,42700,174
2002,9,19,36434,150
2002,9,20,33747,131
2002,9,21,5939,29
2002,9,22,31005,117
2002,9,23,44934,179
2002,9,24,42926,158
2002,9,25,41783,158
2002,9,26,38125,149
2002,9,27,30219,123
2002,9,28,7991,39
2002,9,29,37077,114
2002,9,30,60646,187
2002,10,1,57861,190
2002,10,2,56838,191
2002,10,3,53263,176
2002,10,4,41197,152
2002,10,5,7640,34
2002,10,6,30376,119
2002,10,7,45090,186
2002,10,8,46126,174
2002,10,9,46438,166
2002,10,10,40145,165
2002,10,11,36305,141
2002,10,12,13302,49
2002,10,13,28393,111
2002,10,14,40850,147
2002,10,15,38194,131
2002,10,16,39387,144
2002,10,17,38743,153
2002,10,18,34668,132
2002,10,19,11201,47
2002,10,20,30379,115
2002,10,21,46667,163
2002,10,22,40512,159
2002,10,23,40639,150
2002,10,24,35792,131
2002,10,25,22533,91
2002,10,26,5773,32
2002,10,27,21551,81
2002,10,28,32151,133
2002,10,29,32395,126
2002,10,30,30981,124
2002,10,31,28670,118
2002,11,1,18915,79
2002,11,2,5816,32
2002,11,3,14895,81
2002,11,4,19549,93
2002,11,5,18193,92
2002,11,6,19036,71
2002,11,7,17285,83
2002,11,8,19660,74
2002,11,9,8825,31
2002,11,10,12333,56
2002,11,11,13501,72
2002,11,12,15359,78
2002,11,13,16630,81
2002,11,14,17117,86
2002,11,15,11035,60
2002,11,16,4250,26
2002,11,17,5145,24
2002,11,18,13654,57
2002,11,19,11231,67
2002,11,20,12014,71
2002,11,21,8658,55
2002,11,22,5170,36
2002,11,23,2718,17
2002,11,24,4316,28
2002,11,25,6836,31
2002,11,26,6470,27
2002,11,27,5706,27
2002,11,28,1670,12
2002,11,29,3283,18
2002,11,30,883.2,6
2002,12,1,1017,9
2002,12,2,2081,15
2002,12,3,1896,13
2002,12,4,1714,10
2002,12,5,1841,9
2002,12,6,1475,9
2002,12,7,1027,6
